1956967341,empty,xoshayzers,"['know', 'listenin', 'bad', 'habit', 'earlier', 'started', 'freakin', 'part']"
1956967666,sadness,wannamama,"['Layin', 'n', 'bed', 'headache', 'ughhhh', 'waitin', 'call']"
1956967696,sadness,coolfunky,"['Funeral', 'ceremony', 'gloomy', 'friday']"
1956967789,enthusiasm,czareaquino,"['wants', 'hang', 'friends', 'SOON']"
1956968416,neutral,xkilljoyx,"['We', 'want', 'trade', 'someone', 'Houston', 'tickets', 'one']"
1956968477,worry,xxxPEACHESxxx,"['Re', 'pinging', 'go', 'prom', 'BC', 'bf', 'like', 'friends']"
1956968487,sadness,ShansBee,"['I', 'sleep', 'im', 'thinking', 'old', 'friend', 'I', 'want', 'married', 'damn', 'amp', 'wants', '2', 'scandalous']"
1956968636,worry,mcsleazy,['Hmmm']
1956969035,sadness,nic0lepaula,"['Charlene', 'love', 'I', 'miss']"
1956969172,sadness,Ingenue_Em,"['I', 'sorry', 'least', 'Friday']"
1956969456,neutral,feinyheiny,"['cant', 'fall', 'asleep']"
1956969531,worry,dudeitsmanda,"['Choked', 'retainers']"
1956970047,sadness,Danied32,"['Ugh', 'I', 'beat', 'stupid', 'song', 'get', 'next', 'rude']"
1956970424,sadness,Samm_xo,"['u', 'watch', 'hills', 'london', 'u', 'realise', 'tourture', 'weeks', 'weeks', 'late', 'watch', 'itonlinelol']"
1956970860,surprise,okiepeanut93,"['Got', 'news']"
1956971077,sadness,Sim_34,"['The', 'storm', 'electricity', 'gone']"
1956971170,love,poppygallico,['agreed']
1956971206,sadness,brokenangel1982,"['So', 'sleepy', 'even', 'late', 'I', 'fail']"
1956971473,worry,LCJ82,"['lady', 'gaga', 'tweeted', 'impressed', 'video', 'leaking', 'know']"
1956971586,sadness,cleepow,"['How', 'YOU', 'convinced', 'I', 'always', 'wanted', 'What', 'signals', 'I', 'give', 'damn', 'I', 'think', 'I', 'lost', 'another', 'friend']"
1956971981,worry,andreagauster,"['oh', 'bad', 'I', 'hope', 'gets', 'better', 'I', 'sleep', 'issues', 'lately']"
1956972097,fun,schiz0phren1c,"['Wondering', 'I', 'awake', '7', 'writing', 'new', 'song', 'plotting', 'evil', 'secret', 'plots', 'muahahaha', 'oh', 'damn', 'secret', 'anymore']"
1956972116,neutral,jansc,"['No', 'Topic', 'Maps', 'talks', 'Balisage', 'Markup', 'Conference', '2009', 'Program', 'online', 'topicmaps']"
1956972270,worry,sweet8181,"['I', 'ate', 'Something', 'I', 'know', 'Why', 'I', 'keep', 'Telling', 'things', 'food']"
1956972359,sadness,xamountoftruth,"['tired', 'think', 'definitely', 'going', 'get', 'ear', 'infection', 'going', 'bed', 'quot', 'early', 'quot']"
1956972444,worry,jomama6881,"['On', 'way', 'home', 'n', '2', 'deal', 'w', 'underage', 'girls', 'drinking', 'gin', 'da', 'bus', 'talking', 'bout', 'keggers', 'damn', 'feel', 'old']"
1956972557,sadness,LilithGaea,"['sorry', 'people', 'rude', 'isaac', 'get', 'manners', 'know', 'better', 'lewd']"
1956972884,worry,oONEPTUNEOo,"['Damm', 'servers', 'still', 'need', 'hit', '80', 'koxpers', 'pass']"
1956973598,sadness,username_origin,"['Fudge', 'Just', 'BS', 'whole', 'paper', 'So', 'tired', 'Ugh', 'I', 'hate', 'school', 'time', 'sleep']"
1956973690,worry,catchtheapple,"['I', 'HATE', 'CANCER', 'I', 'HATE', 'IT', 'I', 'HATE', 'IT', 'I', 'HATE', 'IT']"
1956974706,hate,MavrickAces,"['It', 'annoying', 'starts', 'typing', 'computer', 'middle', 'night']"
1956975441,neutral,LovableKeKe,"['123', 'cant', 'sleep']"
1956975860,neutral,analalalah,"['I', 'missed', 'bl', 'bus']"
1956975876,neutral,jubaldo,"['feels', 'strong', 'contractions', 'wants', 'go']"
1956975927,neutral,mikhaelaela,"['SoCal', 'stoked', 'maybe', 'tomorrow']"
1956976187,neutral,ivoflipse5,"['Screw', 'I', '3', 'weeks']"
1956976312,sadness,amy__xx,"['radio', 'yeah', 'S', 'feel', 'funny', 'cause', 'slept', 'enough', 'woke', 'mum', 'cause', 'singing', 'impressed', 'S']"
1956976371,worry,babyxj,"['I', 'need', 'skott', 'right']"
1956976557,neutral,JanBenn,"['work', 'afternoon']"
1956976681,neutral,HarryHarley,"['Aw', 'would', 'unfollow', 'would', 'Then', 'I', 'would', 'cry']"
